1001#//#1234#//#Ahmad Khaled#//#0795123456#//#123011.000000
1002#//#4321#//#Mohammad Ali#//#0789988776#//#320.750000
1003#//#1111#//#Sara Yaseen#//#0776655443#//#8900.000000
1004#//#2222#//#Omar Hasan#//#0793344556#//#120.250000
1005#//#3333#//#Lina Fares#//#0782233445#//#4500.000000
1006#//#4444#//#Yousef Nader#//#0778899001#//#999.990000
1007#//#5555#//#Hala Samir#//#0794455667#//#780.400000
1008#//#6666#//#Khaled Mahmoud#//#0785566778#//#15000.000000
1009#//#7777#//#Rana Adnan#//#0773344221#//#60.000000
1010#//#8888#//#Bilal Tareq#//#0791122334#//#250.000000
1011#//#9999#//#Noor Ibrahim#//#0789988123#//#1340.750000
1012#//#2468#//#Fadi Saleh#//#0776655889#//#500.000000
1013#//#1357#//#Mona Ziad#//#0798877665#//#7200.300000
1014#//#8642#//#Tamer Issa#//#0783344559#//#80.000000
1015#//#9753#//#Dina Rami#//#0779988442#//#640.900000
47#//#22#//#Abdelghani#//#0789990#//#1977.337200
